Content,File Name,True Value,Predicted Value,Folder,Source,Date,Perf,direction,point
"Asya borsaları, Japonya ve Hong Kong hariç yükseldi",haberler_6.8.2020.txt,1,1,pos,haberler,2020-08-06,-5.15,-1,-5.15
Dev şirket halka arz için başvurdu,haberler_10.8.2020.txt,1,1,pos,haberler,2020-08-10,1.89,1,1.89
Borsa günü yükselişle tamamladı,haberler_11.8.2020.txt,1,1,pos,haberler,2020-08-11,2.57,1,2.57
Asya borsalarında karışık bir seyir izlendi,haberler_12.8.2020.txt,0,0,neg,haberler,2020-08-12,-0.06,1,0.06
Asya borsalarında seyir karışık,haberler_13.8.2020.txt,0,0,neg,haberler,2020-08-13,-1.72,1,1.72
Asya borsaları Güney Kore hariç yükseldi,haberler_14.8.2020.txt,1,1,pos,haberler,2020-08-14,-0.89,-1,-0.89
Dinamik Isı halka arz oluyor,haberler_24.8.2020.txt,1,1,pos,haberler,2020-08-24,-0.25,-1,-0.25
İşte ilk yarıda en çok kar eden şirketler,haberler_26.8.2020.txt,1,1,pos,haberler,2020-08-26,0.82,1,0.82
Avrupa borsaları haftaya yükselişle başladı,haberler_31.8.2020.txt,1,1,pos,haberler,2020-08-31,-2.1,-1,-2.1
Borsa liginin şampiyonu Fenerbahçe oldu,haberler_1.9.2020.txt,1,1,pos,haberler,2020-09-01,0.33,1,0.33
Asya borsaları alıcılı seyretti,haberler_11.9.2020.txt,1,1,pos,haberler,2020-09-11,0.18,1,0.18
Asya borsaları Fed ve BoJ faiz kararları sonrası geriledi,haberler_17.9.2020.txt,0,0,neg,haberler,2020-09-17,0.44,-1,-0.44
Asya borsaları geriledi,haberler_21.9.2020.txt,0,0,neg,haberler,2020-09-21,-2.23,1,2.23
Avrupa borsaları güne yükselişle başladı,haberler_22.9.2020.txt,1,1,pos,haberler,2020-09-22,0.69,1,0.69
SPK'dan iki şirketin halka arzına izin,haberler_25.9.2020.txt,1,1,pos,haberler,2020-09-25,-0.43,-1,-0.43
Asya borsaları Hong Kong hariç yükseldi,haberler_29.9.2020.txt,1,1,pos,haberler,2020-09-29,-0.04,-1,-0.04
Borsa liginin şampiyonu belli oldu,haberler_1.10.2020.txt,1,1,pos,haberler,2020-10-01,-0.57,-1,-0.57
New York borsası Trump'ın Kovid-19'a yakalanması sonrası negatif,haberler_2.10.2020.txt,0,0,neg,haberler,2020-10-02,0.54,-1,-0.54
Asya borsaları yükseldi,haberler_6.10.2020.txt,1,1,pos,haberler,2020-10-06,-0.98,-1,-0.98
Çinli devden ABD'de halka arz başvurusu,haberler_8.10.2020.txt,1,1,pos,haberler,2020-10-08,-0.54,-1,-0.54
"Londra Borsası, Borsa Italiananın satışında anlaştı",haberler_9.10.2020.txt,1,1,pos,haberler,2020-10-09,1.12,1,1.12
Arzum'dan halka arz için SPKya başvuru,haberler_14.10.2020.txt,1,1,pos,haberler,2020-10-14,1.04,1,1.04
Borsa İstanbul'dan 8 ayın en yüksek kapanışı,haberler_19.10.2020.txt,1,1,pos,haberler,2020-10-19,0.83,1,0.83
Borsa İstanbul'dan 8.5 ayın en yüksek kapanışı,haberler_20.10.2020.txt,1,1,pos,haberler,2020-10-20,0.18,1,0.18
Asya borsaları Çin hariç alıcılı seyretti,haberler_23.10.2020.txt,1,1,pos,haberler,2020-10-23,-0.81,-1,-0.81
Borsa liginin şampiyonu Fenerbahçe,haberler_2.11.2020.txt,1,1,pos,haberler,2020-11-02,1.24,1,1.24
Çin yönetimi dev halka arzını askıya aldı,haberler_4.11.2020.txt,1,1,pos,haberler,2020-11-04,1.05,1,1.05
New York borsasında 'ralli',haberler_9.11.2020.txt,1,1,pos,haberler,2020-11-09,1.41,1,1.41
Borsa İstanbul'dan 2 rekor birden,haberler_10.11.2020.txt,1,1,pos,haberler,2020-11-10,1.33,1,1.33
Borsa İstanbul'dan 4 rekor,haberler_11.11.2020.txt,1,1,pos,haberler,2020-11-11,2.35,1,2.35
Borsadan İstanbul'dan kapanış rekoru,haberler_18.11.2020.txt,1,1,pos,haberler,2020-11-18,2.43,1,2.43
Borsa İstanbul'dan kapanış rekoru,haberler_19.11.2020.txt,1,1,pos,haberler,2020-11-19,1.49,1,1.49
Kervan Gıda'nın halka arzına onay,haberler_20.11.2020.txt,1,1,pos,haberler,2020-11-20,0.63,1,0.63
Avrupa borsaları aşı umutlarıyla yükseldi,haberler_23.11.2020.txt,1,1,pos,haberler,2020-11-23,-1.13,-1,-1.13
DAX endeksindeki şirket sayısı artıyor,haberler_24.11.2020.txt,1,1,pos,haberler,2020-11-24,-0.16,-1,-0.16
Avrupa borsaları karışık seyirle açıldı,haberler_26.11.2020.txt,0,0,neg,haberler,2020-11-26,0.59,-1,-0.59
Borsa İstanbulda yeni rekorlar bekleniyor,haberler_30.11.2020.txt,1,1,pos,haberler,2020-11-30,-2.35,-1,-2.35
Borsa İstanbul'da pay devri tamamlandı,haberler_1.12.2020.txt,1,1,pos,haberler,2020-12-01,1.77,1,1.77
"""Borsanın halka arzı iki yıl içinde""",haberler_2.12.2020.txt,1,1,pos,haberler,2020-12-02,-0.1,-1,-0.1
Borsa İstanbul yatay seyrediyor,haberler_4.12.2020.txt,0,0,neg,haberler,2020-12-04,-0.06,1,0.06
Yabancı yatırımcı en güçlü alımı kasımda yaptı! İşte tercih edilen hisseler,haberler_8.12.2020.txt,1,1,pos,haberler,2020-12-08,0.62,1,0.62
SPK'dan Arzum'un halka arz başvurusunu onay,haberler_11.12.2020.txt,1,1,pos,haberler,2020-12-11,1.4,1,1.4
Gümüş vadeli işlem sözleşmeleri VİOP'ta işleme açılıyor,haberler_18.12.2020.txt,1,1,pos,haberler,2020-12-18,0.72,1,0.72
New York borsası 'mutasyon' endişesiyle düşüşle açıldı,haberler_21.12.2020.txt,0,0,neg,haberler,2020-12-21,-1.23,1,1.23
Arzum hisseleri açılışta tavan oldu,haberler_24.12.2020.txt,1,1,pos,haberler,2020-12-24,0.41,1,0.41
Trabzonspor'un bedelli sermaye artırımına onay,haberler_25.12.2020.txt,1,1,pos,haberler,2020-12-25,-0.21,-1,-0.21
Borsa İstanbul rekora doymuyor,haberler_29.12.2020.txt,1,1,pos,haberler,2020-12-29,1.16,1,1.16
Borsa İstanbul yılı 1476 puandan tamamlandı,haberler_31.12.2020.txt,1,1,pos,haberler,2020-12-31,-0.28,-1,-0.28
Spor endeksi yüzde 90'ın üzerinde kazandırdı,haberler_4.1.2021.txt,1,1,pos,haberler,2021-01-04,0.89,1,0.89
"BIST-100 endeksi 2020yi %29 getiriyle kapattı. Yıllık getiride turizm, bilişim, cam ve enerji hisseleri öne çıkarken, Aralık ayında demir/çelik, maden-altın, petrokimya, bilişim ve havacılık hisseleri dikkat çekti. Bankalar ve havacılık hisseleri genelde yılı ekside kapatan iki sektör oldu. Bu hafta ABD piyasaları bir bölgede tekrarlanan seçimleri fiyatlamaya çalışırken, yurtiçinde gün içerisinde gelecek Aralık ayı enflasyon rakamları beklenecek. Bu hafta ayrıca bankaların 2021 yılına ilişkin bütçe hedef paylaşımları takip edilecek. Bu değerlendirmeler yatırımcı risk iştahına etki edebilir. BIST açılışı öncesi Asya piyasalarının yeni yıla alıcılı başladığı, ABD vadelilerinde ise hafif kâr realizasyonu olduğu görülüyor. BISTin de güne hafif alımlarla başlamasını bekliyoruz.",akbank_04.01.2021_577.txt,1,1,pos,akbank,2021-01-04,0.89,1,0.89
"BIST-100 yeni yıla %1,3 yükselişle başlarken, sanayi hisseleri yükselişe öncülük etmeye devam etti. Bankalarda ise hisse değişimleri neticesinde günlük artış daha sınırlı kaldı. Beklentinin üzerinde gelen Aralık ayı enflasyon rakamları mali sektör hisselerine dönük risk iştahında bir miktar zayıflamaya neden olmuş olabilir. Ayrıca yurtdışı tarafta yeni karantina tedbirlerine ilişkin haberler temkinli olma zorunluluğuna neden olabilir. Yurtdışı tarafın gündemine bakıldığında; ABDde tekrarlanan seçimler ve yurt içerisinde ise büyük ölçekli bankaların 2021 bütçe hedeflerine ilişkin bilgilendirme toplantıları takip edilecek. Sabah açılışında Asya piyasalarının alıcılı ABD vadelilerin ise hafif ekside olduğu görülüyor. BISTin güne hafif alımlarla başlamasını bekliyoruz.",akbank_05.01.2021_576.txt,1,1,pos,akbank,2021-01-05,-0.18,-1,-0.18
Borsa İstanbul'da rekor seviye,haberler_5.1.2021.txt,1,1,pos,haberler,2021-01-05,-0.18,-1,-0.18
"Artan vaka sayıları ile birlikte Avrupadan gelen yeni kısıtlama haberleri risk iştahını baskılıyor. Ayrıca, ABD hisse senetleri piyasaları hafta başından beri tekrarlanan senato seçimlerinin oynaklığını yansıtıyor. Son olarak S. Arabistandan gelen petrol arzı kesintisi kararı petrol fiyatlarını sürpriz bir şekilde yukarıya çekti. Dün BIST-100 seansın ikinci yarısında özellikle bankalara gelen satışlarla günü %0,4 ekside kapadı. BIST-30 hisselerinden sadece sekizi günü artıda kapatırken, banka hisselerinde de %1,3 civarı gerileme oldu. Bu sabah açılışında Asya piyasaları ve ABD hisse vadelilerin zayıf seyrettiğini gözlüyoruz. BIST-100ün de temkinli bir eğilimle yatay başlayabileceğini düşünüyoruz.",akbank_06.01.2021_575.txt,0,0,neg,akbank,2021-01-06,0.25,-1,-0.25
Dün yurtdışı piyasalar ABDdeki senato seçim sonuçlarını genelde olumlu yönde fiyatladı ve hisse senedi endekslerinde yükseliş devam etti. Banka hisseleri küresel çapta ABDdeki gelişmeden en olumlu etkilenen sektörler arasındaydı. Küresel bazda banka endekslerinde %6ları aşan yükselişler gözlendi. Dün BİSTte de gerek yurtdışı eğilimin desteği gerekse de 2021 yılı beklentilerini paylaşan bankalara dönük iyimserliğin artmasıyla banka hisseleri ağırlıklı bir yükseliş yaşadık. Asya hisse senedi endekslerinin ve ABD vadelilerin bugün seans öncesi işlemlerde de hafif artıda olduğu görülüyor. BISTin de dünkü eğilimini korumasını ve güne alıcılı başlamasını bekliyoruz.,akbank_07.01.2021_574.txt,1,1,pos,akbank,2021-01-07,0.7,1,0.7
New York borsası karışık seyirle kapandı,haberler_7.1.2021.txt,0,0,neg,haberler,2021-01-07,0.7,-1,-0.7
ABD seçimleri sonrası banka hisselerinde temettü ve hisse geri alım beklentilerinin artması bir süredir baskı altında olan bankacılık hisselerinin önünü açtı. Banka hisseleri öncülüğünde hisse senetleri iyimserliği korunuyor. Dün BISTte de bankalar öncülüğünde yükseliş sürdü ve BIST-100 yeni zirvelerine ulaştı. Bugün ABD işsizlik verisi piyasanın yönü açısından önem taşıyor. BISTin güne yukarı eğilimini koruyarak başlamasını bekliyoruz.,akbank_08.01.2021_573.txt,1,1,pos,akbank,2021-01-08,0.92,1,0.92
"ABDde geçen haftaki senato seçimlerinin ardından mali teşvik beklentileriyle küresel piyasalardaki iyimserlik sürüyor. Geçtiğimiz hafta özellikle uzun süredir baskı altında kalan banka hisselerinde güçlü alımlar gözlemledik ve bunun BISTe de güçlü yansımaları oldu. Yeni hafta başlangıcında ABD para biriminin hafif güçlendiği, ABD hisse senedi vadelilerin hafif satıcılı ve Asya piyasalarının karışık olduğu görülüyor. Geçen hafta yaşanan güçlü alımların ardından yurt dışında kâr amaçlı bir düzeltme ihtimali öne çıkmış görünüyor. BISTin de haftaya nispeten sakin bir seyirde başlamasını ve gün içi yatay eğilim sergilemesini bekliyoruz.",akbank_11.01.2021_572.txt,0,0,neg,akbank,2021-01-11,-0.24,1,0.24
"Dün banka hisselerine gelen satışlar BIST-100 endeksinin %0,3 geri çekilmesine yol açtı. Banka hisseleri ortalama %2,2 değer kaybederken, sanayi endeksinde %1e yakın artış sağlandı. Banka hisselerine gelen satışta kâr realizasyonu amaçlı işlemler yanında risk algısının bir miktar artması öne çıkmış olabilir. Geri çekilme sonrası banka/sanayi makası yeniden dip seviyelerine gelmiş görünüyor. Yurt dışı tarafta ise ABD tahvil faizlerinde artış eğilimi ile birlikte banka hisselerinde yukarı hareketin sürdüğü buna karşılık sanayi hisselerindeki satışlarla borsa endekslerinin %1e varan oranlarda değer kaybettiği görülüyor. Bu sabah itibarıyla hisse senetlerinin Asya tarafında alıcılı ABD vadeli piyasalarında ise yataya yakın seyrettiği görülüyor. Dünkü sert satışın ardından BISTin güne yatay bir bantta başlamasını bekliyoruz.",akbank_12.01.2021_571.txt,0,0,neg,akbank,2021-01-12,0.03,-1,-0.03
"Borsada hafta başından beri gördüğümüz banka, sanayi hisseleri ayrışması dün de devam etti. Banka endeksi günü %0,4 kayıpla tamamlarken, sanayi endeksinde %1,5 artış kaydedildi, BIST-100de günü %1e yakın artışla tamamladı. Geçen haftadan beri ABD tahvil faizlerinin artış eğilimini koruması ABD ve AB bankalarında değerlenmeye yardımcı olurken, yurt içinde bankaların olumsuz ayrışmasına etki ediyor. Dün ABD tahvil faizlerindeki yükselişin hız kestiği, buna karşılık banka, enerji ve havayolu hisselerinin değer kazandığı dikkat çekti. İçerideki gündeme bakacak olursak, bugün açıklanacak sanayi üretim verileri ve haftanın son iki günü başlayacak Covid-19 aşılamaları piyasa değerlemeleri üzerinde etki edebilir. Borsanın bugün de genel eğilimini koruyarak temkinli yükselişini sürdürmesini bekliyoruz.",akbank_13.01.2021_570.txt,0,0,neg,akbank,2021-01-13,-0.03,1,0.03
"Dün açılıştaki alımların gün içerisinde kısmen geri verilmesiyle BISTteki artış %0,6da kaldı. Dünkü yükselişte özellikle Telekom, bilişim, havacılık ve demir çelik hisseleri ön plandaydı. Buna karşılık bankalardaki zayıf performans devam ediyor. Banka/Sanayi endeksine baktığımızda makasın yaklaşık Kasım başındaki seviyelere geldiğini görüyoruz. Dün yurt dışı tarafta ise, ABD piyasalarının yönetim değişikliği ve teşvik paketi beklentileriyle yataya yakın seyrettiği dikkat çekiyor. Borsanın bugün güne dünün devamı niteliğinde hafif alıcılı başlamasını bekliyoruz.",akbank_14.01.2021_569.txt,1,1,pos,akbank,2021-01-14,-1.31,-1,-1.31
Işık Plastik'in halka arzda pay satış fiyatı belli oldu,haberler_15.1.2021.txt,0,0,neg,haberler,2021-01-15,-0.8,1,0.8
"ABD ve Asya hisse senedi borsaları haftanın son gününe ABD mali teşvik paketine ilişkin detayların belirginleşmesiyle bir miktar satıcılı başladı. Dün BISTte ise bankalardaki satış baskısının sürdüğünü ve BIST-100ün günü %0,4 ekside kapadığını izledik. Günü artıda kapatan sınırlı sayıdaki hisse içerisinde havayolu, petrokimya, gıda ve bilişim şirketleri dikkat çekti. Borsanın bugün de yurt dışında azalan risk iştahının etkisiyle güne bir miktar satıcılı başlamasını bekliyoruz.",akbank_15.01.2021_568.txt,0,0,neg,akbank,2021-01-15,-0.8,1,0.8
"Basında yer alan bazı haberlerde aşılama çalışmasında ikinci aşama ile birlikte Mart ortasından itibaren kademeli normalleşme adımlarının atılabileceği haberleri dikkat çekiyor. BIST-100, 11 haftalık çıkışın ardından geçtiğimiz haftayı ekside kapatmıştı. Bu gerilemede özellikle banka hisseleri öne çıkarken, banka / sanayi makası da tarihsel en dip seviyesine ulaştı. Bankalarda gözlenen zayıflamanın bankaların yılın ilk yarısındaki kârlarına ilişkin temkinli görüşün ABD tahvil faizlerindeki yükseliş nedeniyle ön plana çıkmasından kaynaklandığını düşünüyoruz. Yeni haftanın ilk gününde ABD piyasaları resmi tatil nedeniyle kapalı, Asya tarafında kuvvetli Çin verileri nedeniyle yukarı yönlü hareket korunuyor. Bu haftanın yurt içerisindeki en önemli konusu ise 21 Ocaktaki TCMB faiz kararı olacak. Destekleyici haber akışının olmaması nedeniyle borsadaki düzeltme hareketinin hafta başında sürebileceğini, BISTin yeni haftaya gerileyerek başlayacağını tahmin ediyoruz.",akbank_18.01.2021_567.txt,0,0,neg,akbank,2021-01-18,2.05,-1,-2.05
Borsa İstanbul'dan tarihi rekor,haberler_19.1.2021.txt,1,1,pos,haberler,2021-01-19,-0.29,-1,-0.29
"Yurtdışı piyasalarda risk iştahı olumlu görünüyor: Bugün yurtiçi tarafta önemli bir haber akışı bulunmazken, yurtdışında hisse senedi piyasaları ABDde Hazine Bakanı olması beklenen Yellenın yapacağı teşvik paketi hakkındaki sunumuna odaklanmış durumda. Bu sabah itibarıyla ana endekslerdeki ve ABD vadeli piyasalarındaki yükselişin sürdüğü görülüyor. Dün güne satıcılı başlayan BIST-100 endeksi ise özellikle, demir çelik, otomotiv ve tarım sektörü hisselerine gelen alımlarla önceki iki günlük kaybını telafi etti. Banka  Sanayi hisseleri arasındaki fark da sanayi hisseleri lehine açılmaya devam ediyor. Bugün yurtdışının eğiliminin büyük ölçüde hisse senetlerine yansıyacağını düşünüyor ve BISTde de yukarı yönlü bir açılış bekliyoruz.",akbank_19.01.2021_566.txt,1,1,pos,akbank,2021-01-19,-0.29,-1,-0.29
"ABD yönetiminde değişiklik gündemi hisse senedi piyasalarında ılımlı bir iyimserlikle fiyatlanmaya devam ediyor. Dün yurt içerisinde de dışarıya paralel bir eğilim izledik. Yarın ki, TCMB faiz kararı öncesi CDS priminin 330 baz puanın hafif üzerinde dengelendiği, BIST-100de de günlük hafif yükselişlerle 1.550 puanın üzerinde kalındığı görülüyor. Borsada özellikle havacılık, teknoloji ve perakende ticaret sektörlerindeki hisselerin ön plana çıktığı, bankaların baskı altında kalmaya devam ettiği dikkat çekti. Bugün borsada daha sakin bir seans takip edilmesi, hisse değişimleri ve konsolidasyon beklentisi ile endeksin güne yatay seviyelerde başlamasını bekliyoruz.",akbank_20.01.2021_565.txt,0,0,neg,akbank,2021-01-20,-0.26,1,0.26
"Yönetim değişikliği sonrası ABD hisse senedi piyasalarındaki iyimserlik korunuyor. BISTte de gıda, bilişim, perakende ve dayanıklı tüketim/otomotiv hisseleri öncülüğündeki yükseliş devam ederken, banka hisselerindeki olumsuz ayrışma devam ediyor. Öne çıkan sektörlerde değerlemelerin belirli seviyelere gelmesi hisse değişimlerine ve endeks bazında nispeten sınırlı hareketlere neden oluyor. Diğer taraftan geride kalan bankalardaki nispeten zayıf seyrin piyasanın yakın dönem enflasyon eğilimine dönük temkinli yaklaşımını yansıttığını düşünüyoruz. Bugün TCMB politika faizini görüşmek üzere toplanacak. Ekonomistler genelde faiz seviyesinde bir değişiklik öngörmüyorlar. Sabah öncesi işlemlerde Asya piyasaları ve ABD vadeli hisse senedi endeksleri alım eğilimini koruyor. BISTin güne temkinli başlayacağını ve dar banttaki yatay / hafif yukarı yönlü eğilimin korunmaya çalışılacağını düşünüyoruz.",akbank_21.01.2021_564.txt,0,0,neg,akbank,2021-01-21,-1.68,1,1.68
Borsa İstanbul rekor seviyede,haberler_21.1.2021.txt,1,1,pos,haberler,2021-01-21,-1.68,-1,-1.68
"BDDKnın bankalardaki temettü kısıtlamasında değişikliği gündemine aldığı haberleriyle güne alıcılı başlayan banka hisseleri ve BIST-100de günün ikinci yarısında gelen satışlar endeksi yeniden 1.550 seviyesine düşürdü. Sanayi hisselerindeki kâr satışları nedeniyle uzunca bir sürenin ardından dün bankalar sanayilere göre hafif de olsa daha kuvvetli bir seyir gösterdi. Dün TCMB politika faizini sabit tutarken, TLnin bir miktar güçlendiği görüldü. Yurt dışı tarafta da piyasalar yukarı hareketin devamını sağlamakta zorlanıyor. Bu sabah itibarıyla ABD vadelileri ve Asya hisse endekslerinde eksiler dikkat çekiyor. BISTin haftanın son gününde yurt dışına paralel olarak bir miktar satıcılı seyir izleyebileceğini düşünüyoruz.",akbank_22.01.2021_563.txt,0,0,neg,akbank,2021-01-22,-0.58,1,0.58
"BIST-100 geçtiğimiz haftayı %1 civarı artışla tamamlarken, geçen haftayı %2 civarında kayıpla tamamlayan bankacılık endeksi sanayi hisselerinden olumsuz yönde ayrışmaya devam etti. Geçtiğimiz hafta yurt dışı tarafta da nispeten zayıf bir eğilim gözlendi. Yeni haftanın başlangıcında ise Covid-19 salgınındaki ivmenin küresel piyasalarda yeni kısıtlamaları gündeme getirebileceği belirtilirken, yurt içerisinde ise aşılama çalışmaları ve alınan tedbirler sonrası hizmet sektörüne dönük kısıtlamalarda bazı rahatlamalar sağlanabileceği belirtiliyor. Hisse senetleri tarafında bugün başlayacak 4Ç20 bilanço açıklamaları ve ekonomi tarafında Perşembe günü yayınlanacak TCMB enflasyon raporu gündemi belirleyecek. Seans öncesi işlemlerde ABD vadelileri ve Asya piyasaları hafif artıda seyrediyor. BISTin yurt dışına paralel olarak haftaya temkinli iyimserlikle başlayacağını ve borsanın açılışta hafif alıcılı olacağını tahmin ediyoruz.",akbank_25.01.2021_562.txt,0,0,neg,akbank,2021-01-25,-1.05,1,1.05
Borsada rekorlar devam eder mi?,haberler_26.1.2021.txt,1,1,pos,haberler,2021-01-26,-0.12,-1,-0.12
"Covid-19 salgınına ilişkin yeni seyahat yasaklarının gündeme gelmesi özellikle banka ve havacılık hisselerindeki zayıf eğilimi belirginleştirdi. Dün BIST banka ve havacılık endeksleri de %2nin üzerinde değer kaybederken, altın ve enerji hisselerine gelen alımlar BIST-100ün günü yatay bir seviyeden, 1.540dan kapatmasına imkan sağladı. Dün ayrıca bilişim ve teknoloji hisselerindeki olumlu ayrışma da yurt dışına paralel şekilde sürdü. Dün yurt dışı tarafta da zayıf risk iştahı hakimdi. Gündeme giren yeni kısıtlamalar ABD ve Avrupa borsalarında da en çok banka ve turizm hisselerini olumsuz etkiledi. Bu sabah açılışlarında da gerek ABD vadelilerin gerekse Asya piyasalarının genelde satıcılı olduğu görülüyor. Dün Arçelikin 4Ç20 sonuçları ile başlayan finansal tablo açıklamaları hafta içerisinde hisse bazlı hareketlere neden olabilir. Endeksteki geri çekilmeler teknik görünümü biraz daha bozuyor. BIST-100ün gün başlangıcında bu seviyelerde tutunmaya çalışacağını düşünüyoruz.",akbank_26.01.2021_561.txt,0,0,neg,akbank,2021-01-26,-0.12,1,0.12
"Bugün yurt içi açısından önemli bir gündem maddesi bulunmuyor. Yurt dışı tarafta da piyasaları bu dönemde en çok etkileyen konu Covid-19 salgını kapsamında gündeme gelen yeni kısıtlama tedbirleri. Bu tedbirlerin ekonomide resesyonun riskini artırması piyasalarda risk iştahının zayıf seyretmesine neden oluyor. BIST-100 dün %2ye yaklaşan kayıplarla açıldı. Ardından bankalara gelen alımlarla başlayan toparlanma endeksin hafif eksi seviyelerden kapanmasına imkan sağladı. Endekse perakendecilik ve demir/çelik hisseleri destek verirken, petrokimya hisselerinde zayıf seyir devam etti. Ayrıca kâr açıklamaları sonrası hisse değişimleri gözlendi. Bu sabah ABD endeks vadelileri (bilişim hariç) ve Asya endeksleri güne satıcılı başlangıç yaptı. Benzer bir eğilimin BISTte de görülebileceğini düşünüyoruz.",akbank_27.01.2021_560.txt,0,0,neg,akbank,2021-01-27,-4.5,1,4.5
"Açılışta sert satışlarla güne başlayan BIST-100 endeksi dün %2 artışla, gün içi en yüksek seviyeye çok yakın düzeyden kapattı. Böylece hisseler önceki günkü kayıplarının yarıdan fazlasını yerine koymuş oldu. Dün yurt dışı piyasalar bizdeki iyimserliği destekleyici yönde hareket etti. Ancak bu sabah itibarıyla yurt dışında risk iştahı zayıf görünüyor. ABD hisse senetlerinde dün kapanışa yakın satışlar görmüştük. Bu sabah da gerek ABD endeks vadelilerde gerekse Asya piyasalarında kayıplar dikkat çekiyor. Bir diğer dikkat çeken konu da 22 Ocak haftasında yurt dışı yerleşiklerin hisse senedi pozisyonlarında yaklaşık yedi sekiz haftanın ardından gerileme gözlememiz oldu. Bugün piyasanın daha dengeli seyredeceğini düşünüyoruz. Ancak yurt dışı taraftaki zayıf seyirle birlikte BISTde bugün bir miktar düzeltme olabileceğini düşünüyoruz.",akbank_29.01.2021_559.txt,0,0,neg,akbank,2021-01-29,-0.79,1,0.79
Ocak ayının şampiyonu Fenerbahçe,haberler_1.2.2021.txt,1,1,pos,haberler,2021-02-01,0.51,1,0.51
"Geçtiğimiz hafta Covid-19a ilişkin endişeler ve piyasalardaki fiyat düzeltme beklentisi gibi faktörler neticesinde hisse senetlerinde risk iştahının zayıf seyrettiğini gözlemledik. Buna bağlı olarak BIST-100 2021 başından bu yana kazançlarını neredeyse sıfırlarken, banka hisselerinde yıl başından bu yana gördüğümüz kayıplar %8i aştı. Yeni haftanın gündeminde Ocak ayı enflasyon verisi ve şirketlerden gelen 4. çeyrek kârları en önemli yeri tutuyor. Borsanın haftanın ilk gününde yurtdışı eğilimden etkilenerek haftaya hafif alıcılı bir başlangıç yapmasını bekliyoruz.",akbank_01.02.2021_558.txt,0,1,neg,akbank,2021-02-01,0.51,-1,-0.51
Küresel hisse senedi piyasaları hafta içerisinde ABD teşvik paketlerine ilişkin adımlar atılması ve ekonomide toparlanma beklentileri ile yeniden iyimser bir tona geçmiş görünüyor. Dün yurt içi tarafta da TLnin yabancı para birimleri karşısında güçlenmesi ve son yedi ayın en kuvvetli seviyesine ulaşması hisse senetlerini destekledi. BISTin bugün de yukarı yönlü hareketini korumasını bekliyoruz.,akbank_02.02.2021_557.txt,1,1,pos,akbank,2021-02-02,0.42,1,0.42
"ABDnin yeni teşvik paketi ve Covid-19 sonrası toparlanma beklentileri küresel hisse senedi piyasalarını desteklemeye devam ediyor. Dün ABD hisse senedi endekslerinde %1.5 düzeyinde artışlar yaşanırken, bu sabah itibarıyla da ABD vadeliler ve Asya hisse senetlerinde iyimserliğin korunduğu görülüyor. Dün BIST-100de gerek yurt içi iyimserlik gerekse 4Ç20 bilanço beklentileri ile yükselişini sürdürdü ve yeniden 1.500 seviyesinin üzerine çıktı. TLnin yabancı para birimleri karşısında güçlenmesi de hisse senetlerine destek veriyor. BISTin bugün de alıcılı bir açılış yapmasını bekliyoruz.",akbank_03.02.2021_556.txt,1,1,pos,akbank,2021-02-03,0.85,1,0.85
